Mapped Name,Original Feature Name
glrlm_29,original_glrlm_runLengthNonUniformityNorm_3D_Min
glrlm_30,original_glrlm_runLengthNonUniformityNorm_3D_Max
glrlm_31,original_glrlm_runPercentage_3D_avg
glrlm_32,original_glrlm_runPercentage_3D_Median
glrlm_33,original_glrlm_runPercentage_3D_StdDev
glrlm_34,original_glrlm_runPercentage_3D_Min
glrlm_35,original_glrlm_runPercentage_3D_Max
glrlm_36,original_glrlm_lowGrayLevelRunEmphasis_3D_avg
glrlm_37,original_glrlm_lowGrayLevelRunEmphasis_3D_Median
glrlm_38,original_glrlm_lowGrayLevelRunEmphasis_3D_StdDev
glrlm_39,original_glrlm_lowGrayLevelRunEmphasis_3D_Min
glrlm_40,original_glrlm_lowGrayLevelRunEmphasis_3D_Max
glrlm_41,original_glrlm_highGrayLevelRunEmphasis_3D_avg
glrlm_42,original_glrlm_highGrayLevelRunEmphasis_3D_Median
glrlm_43,original_glrlm_highGrayLevelRunEmphasis_3D_StdDev
glrlm_44,original_glrlm_highGrayLevelRunEmphasis_3D_Min
glrlm_45,original_glrlm_highGrayLevelRunEmphasis_3D_Max
glrlm_46,original_glrlm_shortRunLowGrayLevelEmphasis_3D_avg
glrlm_47,original_glrlm_shortRunLowGrayLevelEmphasis_3D_Median
glrlm_48,original_glrlm_shortRunLowGrayLevelEmphasis_3D_StdDev
glrlm_49,original_glrlm_shortRunLowGrayLevelEmphasis_3D_Min
glrlm_50,original_glrlm_shortRunLowGrayLevelEmphasis_3D_Max
glrlm_51,original_glrlm_shortRunHighGrayLevelEmphasis_3D_avg
glrlm_52,original_glrlm_shortRunHighGrayLevelEmphasis_3D_Median
glrlm_53,original_glrlm_shortRunHighGrayLevelEmphasis_3D_StdDev
glrlm_54,original_glrlm_shortRunHighGrayLevelEmphasis_3D_Min
glrlm_55,original_glrlm_shortRunHighGrayLevelEmphasis_3D_Max
glrlm_56,original_glrlm_longRunLowGrayLevelEmphasis_3D_avg
glrlm_57,original_glrlm_longRunLowGrayLevelEmphasis_3D_Median
glrlm_58,original_glrlm_longRunLowGrayLevelEmphasis_3D_StdDev
glrlm_59,original_glrlm_longRunLowGrayLevelEmphasis_3D_Min
glrlm_60,original_glrlm_longRunLowGrayLevelEmphasis_3D_Max
glrlm_61,original_glrlm_longRunHighGrayLevelEmphasis_3D_avg
glrlm_62,original_glrlm_longRunHighGrayLevelEmphasis_3D_Median
glrlm_63,original_glrlm_longRunHighGrayLevelEmphasis_3D_StdDev
glrlm_64,original_glrlm_longRunHighGrayLevelEmphasis_3D_Min
glrlm_65,original_glrlm_longRunHighGrayLevelEmphasis_3D_Max
glrlm_66,original_glrlm_grayLevelVariance_3D_avg
glrlm_67,original_glrlm_grayLevelVariance_3D_Median
glrlm_68,original_glrlm_grayLevelVariance_3D_StdDev
glrlm_69,original_glrlm_grayLevelVariance_3D_Min
glrlm_70,original_glrlm_grayLevelVariance_3D_Max
glrlm_71,original_glrlm_runLengthVariance_3D_avg
glrlm_72,original_glrlm_runLengthVariance_3D_Median
glrlm_73,original_glrlm_runLengthVariance_3D_StdDev
glrlm_74,original_glrlm_runLengthVariance_3D_Min
glrlm_75,original_glrlm_runLengthVariance_3D_Max
glrlm_76,original_glrlm_runEntropy_3D_avg
glrlm_77,original_glrlm_runEntropy_3D_Median
glrlm_78,original_glrlm_runEntropy_3D_StdDev
glrlm_79,original_glrlm_runEntropy_3D_Min
glrlm_80,original_glrlm_runEntropy_3D_Max
glszm_1,original_glszm_smallAreaEmphasis_3D
glszm_2,original_glszm_largeAreaEmphasis_3D
glszm_3,original_glszm_grayLevelNonUniformity_3D
glszm_4,original_glszm_grayLevelNonUniformityNorm_3D
glszm_5,original_glszm_sizeZoneNonUniformity_3D
glszm_6,original_glszm_sizeZoneNonUniformityNorm_3D
glszm_7,original_glszm_zonePercentage_3D
glszm_8,original_glszm_lowGrayLevelZoneEmphasis_3D
glszm_9,original_glszm_highGrayLevelZoneEmphasis_3D
glszm_10,original_glszm_smallAreaLowGrayLevelEmphasis_3D
glszm_11,original_glszm_largeAreaHighGrayLevelEmphasis_3D
glszm_12,original_glszm_smallAreaHighGrayLevelEmphasis_3D
glszm_13,original_glszm_largeAreaLowGrayLevelEmphasis_3D
glszm_14,original_glszm_grayLevelVariance_3D
glszm_15,original_glszm_sizeZoneVariance_3D
glszm_16,original_glszm_zoneEntropy_3D
gldm_1,original_gldm_lowDependenceEmphasis_3D
gldm_2,original_gldm_highDependenceEmphasis_3D
gldm_3,original_gldm_lowGrayLevelCountEmphasis_3D
gldm_4,original_gldm_highGrayLevelCountEmphasis_3D
gldm_5,original_gldm_lowDependenceLowGrayLevelEmphasis_3D
gldm_6,original_gldm_lowDependenceHighGrayLevelEmphasis_3D
gldm_7,original_gldm_highDependenceLowGrayLevelEmphasis_3D
gldm_8,original_gldm_highDependenceHighGrayLevelEmphasis_3D
gldm_9,original_gldm_grayLevelNonUniformity_3D
gldm_10,original_gldm_grayLevelNonUniformityNorm_3D
gldm_11,original_gldm_dependenceCountNonuniformity_3D
gldm_12,original_gldm_dependenceCountNonuniformityNorm_3D
gldm_13,original_gldm_dependenceCountPercentage_3D
gldm_14,original_gldm_grayLevelVariance_3D
gldm_15,original_gldm_dependenceCountVariance_3D
gldm_16,original_gldm_dependenceCountEntropy_3D
gldm_17,original_gldm_dependenceCountEnergy_3D
gtdm_1,original_gtdm_coarseness_3D
gtdm_2,original_gtdm_contrast_3D
gtdm_3,original_gtdm_busyness_3D
gtdm_4,original_gtdm_complexity_3D
gtdm_5,original_gtdm_strength_3D
